Timestamp,car-id,car-type,gate-name
2015-05-01 04:06:50,20153701033700-323,1,entrance1
2015-05-01 04:09:09,20154001034019-109,5,ranger-stop0
2015-05-01 04:12:40,20154001034019-109,5,general-gate2
2015-05-01 04:25:24,20154001034019-109,5,general-gate5
2015-05-01 04:36:27,20154001034019-109,5,entrance4
2015-05-01 05:29:58,20152901052958-57,1,entrance2
2015-05-01 05:42:01,20154201054201-550,2,entrance2
2015-05-01 05:49:32,20154901054932-304,3,entrance1
2015-05-01 05:50:55,20152901052958-57,1,camping6
2015-05-01 05:55:05,20154901054932-304,3,camping2
2015-05-01 05:55:10,20154901054932-304,3,camping2
2015-05-01 05:59:25,20154201054201-550,2,entrance4
2015-05-01 06:12:13,20154901054932-304,3,general-gate7
2015-05-01 06:17:19,20151701061719-611,1,entrance3
2015-05-01 06:26:25,20154901054932-304,3,entrance3
2015-05-01 06:34:02,20151701061719-611,1,general-gate7
2015-05-01 06:49:30,20151701061719-611,1,camping3
2015-05-01 06:49:37,20151701061719-611,1,camping3
2015-05-01 06:51:39,20155101065139-549,1,entrance4
2015-05-01 07:01:48,20155101065139-549,1,general-gate5
2015-05-01 07:04:57,20151701061719-611,1,general-gate7
2015-05-01 07:12:55,20151701061719-611,1,general-gate4
2015-05-01 07:13:31,20155101065139-549,1,general-gate2
2015-05-01 07:16:46,20155101065139-549,1,ranger-stop0
2015-05-01 07:19:51,20155101065139-549,1,ranger-stop2
2015-05-01 07:20:49,20152001072049-523,1,entrance3
2015-05-01 07:22:32,20155101065139-549,1,general-gate1
2015-05-01 07:25:34,20151701061719-611,1,general-gate1
2015-05-01 07:28:31,20151701061719-611,1,ranger-stop2
2015-05-01 07:31:58,20151701061719-611,1,ranger-stop0
2015-05-01 07:33:56,20155101065139-549,1,general-gate4
2015-05-01 07:35:36,20151701061719-611,1,general-gate2
2015-05-01 07:36:50,20153601073650-751,3,entrance2
2015-05-01 07:41:05,20155101065139-549,1,general-gate7
2015-05-01 07:41:38,20152001072049-523,1,general-gate1
2015-05-01 07:44:18,20152001072049-523,1,ranger-stop2
2015-05-01 07:47:23,20152001072049-523,1,ranger-stop0
2015-05-01 07:48:40,20151701061719-611,1,general-gate5
2015-05-01 07:50:38,20152001072049-523,1,general-gate2
2015-05-01 07:52:09,20155201075209-669,2P,ranger-base
2015-05-01 07:53:31,20155201075209-669,2P,gate8
2015-05-01 07:55:33,20153601073650-751,3,general-gate2
2015-05-01 07:58:35,20153601073650-751,3,ranger-stop0
2015-05-01 07:59:40,20155101065139-549,1,camping0
2015-05-01 08:00:02,20151701061719-611,1,entrance4
2015-05-01 08:01:26,20153601073650-751,3,ranger-stop2
2015-05-01 08:02:17,20155201075209-669,2P,general-gate5
2015-05-01 08:02:19,20152001072049-523,1,general-gate5
2015-05-01 08:03:53,20153601073650-751,3,general-gate1
2015-05-01 08:09:35,20155201075209-669,2P,gate3
2015-05-01 08:10:35,20151001081035-840,2,entrance4
2015-05-01 08:11:12,20155201075209-669,2P,ranger-stop3
2015-05-01 08:12:45,20152001072049-523,1,camping6
2015-05-01 08:12:50,20152001072049-523,1,camping6
2015-05-01 08:13:24,20151301081324-366,1,entrance1
2015-05-01 08:14:24,20153601073650-751,3,general-gate4
2015-05-01 08:18:14,20155201075209-669,2P,ranger-stop3
2015-05-01 08:19:47,20155201075209-669,2P,gate3
2015-05-01 08:20:35,20151001081035-840,2,general-gate5
2015-05-01 08:21:01,20153601073650-751,3,general-gate7
2015-05-01 08:21:56,20152101082156-552,1,entrance4
2015-05-01 08:23:13,20152001072049-523,1,general-gate5
2015-05-01 08:24:30,20155201075209-669,2P,camping8
2015-05-01 08:25:24,20155201075209-669,2P,general-gate3
2015-05-01 08:27:31,20152701082731-176,3,entrance2
2015-05-01 08:27:59,20152101082156-552,1,general-gate6
2015-05-01 08:28:35,20151301081324-366,1,general-gate7
2015-05-01 08:32:09,20151001081035-840,2,general-gate2
2015-05-01 08:34:55,20152001072049-523,1,general-gate2
2015-05-01 08:35:02,20155201075209-669,2P,gate4
2015-05-01 08:35:22,20151001081035-840,2,ranger-stop0
2015-05-01 08:36:05,20152101082156-552,1,camping7
2015-05-01 08:36:37,20155201075209-669,2P,ranger-stop5
2015-05-01 08:37:49,20153601073650-751,3,camping2
2015-05-01 08:38:10,20152001072049-523,1,ranger-stop0
2015-05-01 08:38:24,20151001081035-840,2,ranger-stop2
2015-05-01 08:41:03,20151001081035-840,2,general-gate1
2015-05-01 08:41:15,20152001072049-523,1,ranger-stop2
2015-05-01 08:43:54,20152001072049-523,1,general-gate1
2015-05-01 08:45:57,20151301081324-366,1,entrance3
2015-05-01 08:49:55,20152701082731-176,3,entrance4
2015-05-01 08:55:16,20152001072049-523,1,general-gate4
2015-05-01 09:01:41,20151001081035-840,2,entrance3
2015-05-01 09:02:24,20152001072049-523,1,general-gate7
2015-05-01 09:15:38,20152001072049-523,1,entrance1
2015-05-01 09:24:39,20155201075209-669,2P,ranger-stop5
2015-05-01 09:26:08,20155201075209-669,2P,gate4
2015-05-01 09:32:47,20155201075209-669,2P,gate5
2015-05-01 09:33:40,20155201075209-669,2P,ranger-stop6
2015-05-01 09:36:44,20153601093644-33,1,entrance0
2015-05-01 09:49:35,20153601093644-33,1,general-gate4
2015-05-01 09:51:42,20155201075209-669,2P,ranger-stop6
2015-05-01 09:52:30,20155201075209-669,2P,gate5
2015-05-01 09:52:59,20155201095259-137,1,entrance4
2015-05-01 09:56:48,20153601093644-33,1,general-gate7
2015-05-01 09:56:59,20155201075209-669,2P,gate8
2015-05-01 09:58:22,20155201075209-669,2P,ranger-base
2015-05-01 10:04:32,20155201095259-137,1,general-gate5
2015-05-01 10:10:49,20153601093644-33,1,camping3
2015-05-01 10:19:36,20155201095259-137,1,camping8
2015-05-01 10:32:00,20153201103200-582,2,entrance0
2015-05-01 10:35:20,20153501103520-243,1,entrance4
2015-05-01 10:36:32,20153601103632-930,3,entrance2
2015-05-01 10:44:16,20153201103200-582,2,general-gate4
2015-05-01 10:44:16,20154401104416-538,3,entrance4
2015-05-01 10:46:55,20153501103520-243,1,general-gate5
2015-05-01 10:51:10,20153201103200-582,2,general-gate7
2015-05-01 10:53:36,20154401104416-538,3,general-gate5
2015-05-01 10:56:23,20153601103632-930,3,general-gate2
2015-05-01 10:57:33,20155701105733-580,1,entrance3
2015-05-01 10:58:20,20155801105820-248,2,entrance2
2015-05-01 10:59:36,20153601103632-930,3,ranger-stop0
2015-05-01 11:00:02,20152901052958-57,1,camping6
2015-05-01 11:00:20,20153501103520-243,1,general-gate2
2015-05-01 11:02:37,20153601103632-930,3,ranger-stop2
2015-05-01 11:03:55,20153201103200-582,2,entrance1
2015-05-01 11:04:04,20153501103520-243,1,ranger-stop0
2015-05-01 11:04:23,20154401104416-538,3,general-gate2
2015-05-01 11:05:14,20153601103632-930,3,general-gate1
2015-05-01 11:06:46,20153601103632-930,3,entrance0
2015-05-01 11:07:22,20154401104416-538,3,ranger-stop0
2015-05-01 11:07:36,20153501103520-243,1,ranger-stop2
2015-05-01 11:10:12,20154401104416-538,3,ranger-stop2
2015-05-01 11:10:39,20153501103520-243,1,general-gate1
2015-05-01 11:10:56,20152901052958-57,1,general-gate5
2015-05-01 11:12:27,20153501103520-243,1,entrance0
2015-05-01 11:12:39,20154401104416-538,3,general-gate1
2015-05-01 11:13:03,20155701105733-580,1,general-gate7
2015-05-01 11:13:52,20151301111352-990,1,entrance0
2015-05-01 11:19:12,20155801105820-248,2,general-gate2
2015-05-01 11:22:33,20155801105820-248,2,ranger-stop0
2015-05-01 11:23:06,20154401104416-538,3,general-gate4
2015-05-01 11:23:15,20152901052958-57,1,general-gate2
2015-05-01 11:23:34,20155701105733-580,1,camping5
2015-05-01 11:25:44,20155801105820-248,2,ranger-stop2
2015-05-01 11:26:02,20151301111352-990,1,general-gate4
2015-05-01 11:26:41,20152901052958-57,1,ranger-stop0
2015-05-01 11:28:28,20155801105820-248,2,general-gate1
2015-05-01 11:29:40,20154401104416-538,3,general-gate7
2015-05-01 11:29:57,20152901052958-57,1,ranger-stop2
2015-05-01 11:32:44,20152901052958-57,1,general-gate1
2015-05-01 11:32:52,20151301111352-990,1,general-gate7
2015-05-01 11:40:10,20155801105820-248,2,general-gate4
2015-05-01 11:46:08,20151301111352-990,1,camping3
2015-05-01 11:46:12,20151301111352-990,1,camping3
2015-05-01 11:46:21,20154401104416-538,3,camping2
2015-05-01 11:47:32,20155801105820-248,2,general-gate7
2015-05-01 11:54:46,20152901052958-57,1,entrance3
2015-05-01 11:58:02,20155801105820-248,2,camping5
2015-05-01 11:59:22,20151301111352-990,1,general-gate7
2015-05-01 12:00:02,20152101082156-552,1,camping7
2015-05-01 12:08:03,20152101082156-552,1,general-gate6
2015-05-01 12:12:00,20152101082156-552,1,general-gate5
2015-05-01 12:13:47,20151301111352-990,1,entrance3
2015-05-01 12:22:59,20152101082156-552,1,general-gate2
2015-05-01 12:26:02,20152101082156-552,1,ranger-stop0
2015-05-01 12:28:56,20152101082156-552,1,ranger-stop2
2015-05-01 12:31:25,20152101082156-552,1,general-gate1
2015-05-01 12:32:53,20152101082156-552,1,entrance0
2015-05-01 13:24:01,20152401012401-945,1,entrance1
2015-05-01 13:25:46,20152501012546-952,1,entrance2
2015-05-01 13:25:57,20152501012557-10,2P,ranger-base
2015-05-01 13:27:19,20152501012557-10,2P,gate8
2015-05-01 13:36:06,20152401012401-945,1,general-gate7
2015-05-01 13:36:10,20152501012557-10,2P,general-gate5
2015-05-01 13:36:16,20153601013616-849,5,entrance1
2015-05-01 13:42:40,20152401012401-945,1,general-gate4
2015-05-01 13:43:38,20152501012546-952,1,general-gate2
2015-05-01 13:46:30,20152501012557-10,2P,general-gate2
2015-05-01 13:46:31,20152501012546-952,1,ranger-stop0
2015-05-01 13:49:16,20152501012546-952,1,ranger-stop2
2015-05-01 13:49:23,20152501012557-10,2P,ranger-stop0
2015-05-01 13:50:57,20153601013616-849,5,general-gate7
2015-05-01 13:51:36,20152501012546-952,1,general-gate1
2015-05-01 13:53:05,20152401012401-945,1,general-gate1
2015-05-01 13:55:32,20152401012401-945,1,ranger-stop2
2015-05-01 13:58:22,20152401012401-945,1,ranger-stop0
2015-05-01 14:01:22,20152401012401-945,1,general-gate2
2015-05-01 14:01:37,20152501012546-952,1,general-gate4
2015-05-01 14:07:25,20152501012557-10,2P,ranger-stop0
2015-05-01 14:07:44,20153601013616-849,5,entrance3
2015-05-01 14:07:56,20152501012546-952,1,general-gate7
2015-05-01 14:08:50,20150801020850-865,2P,ranger-base
2015-05-01 14:10:09,20152501012557-10,2P,ranger-stop2
2015-05-01 14:10:32,20150801020850-865,2P,gate8
2015-05-01 14:12:06,20152401012401-945,1,general-gate5
2015-05-01 14:12:29,20152501012557-10,2P,general-gate1
2015-05-01 14:20:10,20152501012546-952,1,camping3
2015-05-01 14:20:15,20152501012546-952,1,camping3
2015-05-01 14:21:27,20152401012401-945,1,entrance4
2015-05-01 14:21:44,20150801020850-865,2P,general-gate5
2015-05-01 14:22:30,20152501012557-10,2P,general-gate4
2015-05-01 14:28:49,20152501012557-10,2P,general-gate7
2015-05-01 14:32:25,20152501012546-952,1,general-gate7
2015-05-01 14:36:30,20150801020850-865,2P,camping8
2015-05-01 14:38:32,20150801020850-865,2P,camping8
2015-05-01 14:38:44,20152501012546-952,1,general-gate4
2015-05-01 14:40:03,20152501012557-10,2P,ranger-stop4
2015-05-01 14:48:44,20152501012546-952,1,general-gate1
2015-05-01 14:51:04,20152501012546-952,1,ranger-stop2
2015-05-01 14:53:13,20150801020850-865,2P,general-gate5
2015-05-01 14:53:49,20152501012546-952,1,ranger-stop0
2015-05-01 14:56:41,20152501012546-952,1,general-gate2
2015-05-01 14:58:52,20150801020850-865,2P,gate5
2015-05-01 15:00:00,20150801020850-865,2P,ranger-stop6
2015-05-01 15:07:01,20152501012546-952,1,general-gate5
2015-05-01 15:14:05,20152501012557-10,2P,ranger-stop4
2015-05-01 15:16:00,20152501012546-952,1,entrance4
2015-05-01 15:17:02,20150801020850-865,2P,ranger-stop6
2015-05-01 15:18:04,20150801020850-865,2P,gate5
2015-05-01 15:25:18,20152501012557-10,2P,general-gate7
2015-05-01 15:26:33,20150801020850-865,2P,gate4
2015-05-01 15:28:33,20150801020850-865,2P,ranger-stop5
2015-05-01 15:31:35,20152501012557-10,2P,general-gate4
2015-05-01 15:34:30,20153401033430-345,2P,ranger-base
2015-05-01 15:36:05,20153401033430-345,2P,gate8
2015-05-01 15:41:18,20153401033430-345,2P,gate5
2015-05-01 15:41:35,20152501012557-10,2P,general-gate1
2015-05-01 15:41:46,20154101034146-410,4,entrance4
2015-05-01 15:42:20,20153401033430-345,2P,ranger-stop6
2015-05-01 15:43:56,20152501012557-10,2P,ranger-stop2
2015-05-01 15:48:09,20154801034809-529,2,entrance2
2015-05-01 15:48:35,20150801020850-865,2P,ranger-stop5
2015-05-01 15:50:28,20150801020850-865,2P,gate4
2015-05-01 16:01:30,20154101034146-410,4,entrance2
2015-05-01 16:01:41,20150101040141-397,2,entrance2
2015-05-01 16:04:30,20150801020850-865,2P,gate8
2015-05-01 16:06:16,20150801020850-865,2P,ranger-base
2015-05-01 16:06:47,20154801034809-529,2,entrance4
2015-05-01 16:07:58,20152501012557-10,2P,ranger-stop2
2015-05-01 16:10:42,20152501012557-10,2P,ranger-stop0
2015-05-01 16:13:34,20152501012557-10,2P,general-gate2
2015-05-01 16:22:49,20150101040141-397,2,general-gate2
2015-05-01 16:23:54,20152501012557-10,2P,general-gate5
2015-05-01 16:26:13,20150101040141-397,2,ranger-stop0
2015-05-01 16:29:27,20150101040141-397,2,ranger-stop2
2015-05-01 16:32:14,20150101040141-397,2,general-gate1
2015-05-01 16:32:22,20153401033430-345,2P,ranger-stop6
2015-05-01 16:32:45,20152501012557-10,2P,gate8
2015-05-01 16:33:19,20153401033430-345,2P,gate5
2015-05-01 16:34:09,20152501012557-10,2P,ranger-base
2015-05-01 16:38:28,20153401033430-345,2P,general-gate5
2015-05-01 16:40:56,20154001044056-714,3,entrance2
2015-05-01 16:44:05,20150101040141-397,2,general-gate4
2015-05-01 16:50:27,20153401033430-345,2P,general-gate2
2015-05-01 16:51:34,20150101040141-397,2,general-gate7
2015-05-01 16:53:47,20153401033430-345,2P,ranger-stop0
2015-05-01 16:54:41,20155401045441-227,2,entrance4
2015-05-01 17:00:29,20154001044056-714,3,general-gate2
2015-05-01 17:03:38,20154001044056-714,3,ranger-stop0
2015-05-01 17:05:24,20150101040141-397,2,entrance1
2015-05-01 17:06:15,20155401045441-227,2,general-gate5
2015-05-01 17:06:36,20154001044056-714,3,ranger-stop2
2015-05-01 17:09:10,20154001044056-714,3,general-gate1
2015-05-01 17:19:36,20155401045441-227,2,general-gate2
2015-05-01 17:20:08,20154001044056-714,3,general-gate4
2015-05-01 17:20:49,20153401033430-345,2P,ranger-stop0
2015-05-01 17:23:18,20155401045441-227,2,ranger-stop0
2015-05-01 17:24:03,20153401033430-345,2P,general-gate2
2015-05-01 17:26:50,20155401045441-227,2,ranger-stop2
2015-05-01 17:27:02,20154001044056-714,3,general-gate7
2015-05-01 17:29:52,20155401045441-227,2,general-gate1
2015-05-01 17:36:01,20153401033430-345,2P,general-gate5
2015-05-01 17:42:46,20155401045441-227,2,general-gate4
2015-05-01 17:44:56,20154001044056-714,3,camping0
2015-05-01 17:46:15,20153401033430-345,2P,gate8
2015-05-01 17:47:52,20153401033430-345,2P,ranger-base
2015-05-01 17:50:55,20155401045441-227,2,general-gate7
2015-05-01 18:01:36,20150101060136-731,4,entrance4
2015-05-01 18:06:44,20155401045441-227,2,camping3
2015-05-01 18:10:33,20150101060136-731,4,general-gate5
2015-05-01 18:20:53,20150101060136-731,4,general-gate2
2015-05-01 18:23:46,20150101060136-731,4,ranger-stop0
2015-05-01 18:26:31,20150101060136-731,4,ranger-stop2
2015-05-01 18:28:51,20150101060136-731,4,general-gate1
2015-05-01 18:38:52,20150101060136-731,4,general-gate4
2015-05-01 18:45:11,20150101060136-731,4,general-gate7
2015-05-01 18:56:52,20150101060136-731,4,entrance1
2015-05-01 19:26:03,20152601072603-870,4,entrance4
2015-05-01 19:37:45,20152601072603-870,4,general-gate5
2015-05-01 19:51:16,20152601072603-870,4,general-gate2
2015-05-01 19:52:06,20155201075206-349,5,entrance4
2015-05-01 19:55:01,20152601072603-870,4,ranger-stop0
2015-05-01 19:58:35,20152601072603-870,4,ranger-stop2
2015-05-01 20:01:38,20152601072603-870,4,general-gate1
2015-05-01 20:09:49,20155201075206-349,5,entrance2
2015-05-01 20:25:43,20152601072603-870,4,entrance3
2015-05-01 23:43:06,20154301114306-910,1,entrance2
